;Ano;1.03-3.67;3.67-4.31;4.31-4.96;4.96-5.6;5.6-6.24;6.24-6.88;6.88-7.52;7.52-8.16;8.16-8.8;8.8-9.44;9.44-10.0;Total
Quartzo;2020;5;0;0;79;0;0;0;0;0;0;44;128
Ágata;;5;0;0;101;0;0;0;0;0;0;65;171
Ametista;;1;0;0;164;0;0;0;0;0;0;170;335
Topázio;;0;0;0;12;0;0;0;0;0;0;79;91
Quartzo;2021;4;0;0;84;0;0;0;0;0;0;22;110
Ágata;;3;0;0;122;0;0;0;0;0;0;53;178
Ametista;;3;0;0;179;0;0;0;0;0;0;112;294
Topázio;;0;0;0;24;0;0;0;0;0;0;76;100
Quartzo;2022;17;0;0;102;0;0;0;0;0;0;15;134
Ágata;;4;0;0;210;0;0;0;0;0;0;36;250
Ametista;;7;0;0;221;0;0;0;0;0;0;120;348
Topázio;;0;0;0;42;0;0;0;0;0;0;88;130
Total;;49;0;0;1340;0;0;0;0;0;0;880;
