;Ano;1.03-3.67;3.67-4.31;4.31-4.96;4.96-5.6;5.6-6.24;6.24-6.88;6.88-7.52;7.52-8.16;8.16-8.8;8.8-9.44;9.44-10.0;Total
Quartzo;2020;30;16;10;11;11;11;12;9;3;2;1;116
Ágata;;6;8;5;10;18;19;15;32;25;11;13;162
Ametista;;0;1;1;5;5;12;19;31;83;71;107;335
Topázio;;0;0;0;0;0;0;1;2;7;20;61;91
Quartzo;2021;57;17;7;7;4;4;1;0;0;0;0;97
Ágata;;8;22;14;40;25;28;20;7;10;2;2;178
Ametista;;0;0;2;10;19;29;54;35;75;19;51;294
Topázio;;0;0;0;0;0;0;3;5;12;21;59;100
Quartzo;2022;20;18;17;20;27;14;8;6;3;0;0;133
Ágata;;0;0;4;7;25;36;52;48;40;30;8;250
Ametista;;0;0;0;3;2;12;19;55;96;100;61;348
Topázio;;0;0;0;0;0;0;2;4;14;56;54;130
;;121;82;60;113;136;165;206;234;368;332;417;
