;;3.03-3.67;3.67-4.31;4.31-4.96;4.96-5.6;5.6-6.24;6.24-6.88;6.88-7.52;7.52-8.16;8.16-8.8;8.8-9.44;9.44-10.0;Total
Quartzo;2020;1;0;1;4;3;6;17;15;20;19;19;105
Ágata;;1;0;0;3;2;10;32;38;49;47;58;240
Ametista;;0;0;0;0;0;10;30;46;77;76;108;347
Topázio;;0;0;0;0;0;0;9;8;21;24;68;130
Quartzo;2021;0;0;2;1;4;8;22;18;23;16;15;109
Ágata;;1;0;0;1;1;7;17;29;38;45;30;169
Ametista;;0;0;0;1;2;7;32;39;81;88;85;335
Topázio;;0;0;0;0;0;0;3;3;9;31;45;91
Quartzo;2022;0;0;1;0;0;9;9;15;17;10;17;78
Ágata;;0;1;0;2;1;13;28;24;39;28;36;172
Ametista;;1;0;0;0;0;4;32;37;84;73;63;294
Topázio;;0;0;0;0;0;0;3;3;19;17;58;100
Total;;4;1;4;12;13;74;234;275;477;474;602;
