;Ano;1.03-3.67;3.67-4.31;4.31-4.96;4.96-5.6;5.6-6.24;6.24-6.88;6.88-7.52;7.52-8.16;8.16-8.8;8.8-9.44;9.44-10.0;Total
Quartzo;2020;11;6;16;21;7;18;49;0;0;0;0;128
Ágata;;6;2;17;16;12;29;87;1;1;0;0;171
Ametista;;0;2;21;26;16;57;198;5;2;5;3;335
Topázio;;0;0;1;2;0;10;61;2;1;1;13;91
Quartzo;2021;2;1;6;25;0;4;60;3;0;0;0;101
Ágata;;5;4;7;17;0;11;126;3;0;0;0;173
Ametista;;2;1;4;24;0;26;231;3;2;0;0;293
Topázio;;0;0;0;4;0;3;87;3;3;0;0;100
Quartzo;2022;0;1;4;31;11;16;69;1;1;0;0;134
Ágata;;0;0;10;31;44;30;132;3;0;0;0;250
Ametista;;1;0;4;23;38;34;222;17;6;2;1;348
Topázio;;0;0;1;3;10;16;78;11;5;5;1;130
Total;;27;17;91;223;138;254;1400;52;21;13;18;
