;Ano;1.03-3.67;3.67-4.31;4.31-4.96;4.96-5.6;5.6-6.24;6.24-6.88;6.88-7.52;7.52-8.16;8.16-8.8;8.8-9.44;9.44-10.0;Total
Quartzo;2020;3;1;2;3;14;26;34;37;4;0;0;124
Ágata;;14;0;1;4;7;22;50;48;17;0;0;163
Ametista;;21;0;3;10;4;17;78;108;65;19;1;326
Topázio;;0;0;0;0;2;1;20;32;11;12;8;86
Quartzo;2021;4;2;2;8;4;18;52;17;2;0;0;109
Ágata;;3;0;2;4;3;8;96;52;9;1;0;178
Ametista;;1;0;0;2;0;2;97;127;60;5;0;294
Topázio;;0;0;0;0;0;0;13;33;39;10;5;100
Quartzo;2022;3;7;18;22;26;29;21;6;0;0;0;132
Ágata;;3;2;16;22;74;62;48;18;5;0;0;250
Ametista;;5;4;4;25;135;90;36;40;8;1;0;348
Topázio;;0;0;2;4;38;41;5;10;19;11;0;130
Total;;57;16;50;104;307;316;550;528;239;59;14;
