;Ano;1.03-3.67;3.67-4.31;4.31-4.96;4.96-5.6;5.6-6.24;6.24-6.88;6.88-7.52;7.52-8.16;8.16-8.8;8.8-9.44;9.44-10.0;Total
Quartzo;2020;1;3;9;13;17;28;32;20;1;0;0;124
Ágata;;3;2;2;4;12;19;46;64;11;0;0;163
Ametista;;0;0;3;3;6;15;82;115;56;42;4;326
Topázio;;0;0;0;0;1;5;12;23;11;17;17;86
Quartzo;2021;15;19;16;20;16;15;5;3;1;0;0;110
Ágata;;0;2;6;20;30;34;50;24;12;0;0;178
Ametista;;0;0;0;0;2;17;53;76;99;40;7;294
Topázio;;0;0;0;0;0;0;0;3;19;29;49;100
Quartzo;2022;2;12;19;17;36;23;22;3;0;0;0;134
Ágata;;0;0;0;13;38;62;97;35;5;0;0;250
Ametista;;0;0;0;2;6;28;126;116;56;12;2;348
Topázio;;0;0;0;0;0;0;19;23;49;27;12;130
Total;;21;38;55;92;164;246;544;505;320;167;91;
