IPP 2020;IPP 2021;IPP;2020-->2021;2021-->2022;2020--> 2021;2021--> 2022;Queda acumulada
;;2022;;;;;
10;7.7;7.083;Queda;Queda;-2.3;-0.617;-2.917
9.375;8.8;9.219;Queda;Ascensão;-0.575;0.419;-0.156
7.5;7.5;5.833;Estável;Queda;0;-1.667;-1.667
7.917;8.5;6.875;Ascensão;Queda;0.583;-1.625;-1.042
9.688;7.5;8.594;Queda;Ascensão;-2.188;1.094;-1.094
7.5;7.5;6.042;Estável;Queda;0;-1.458;-1.458
10;7.5;6.875;Queda;Queda;-2.5;-0.625;-3.125
7.812;8.5;8.906;Ascensão;Ascensão;0.688;0.406;1.094
9.167;8.8;9.062;Queda;Ascensão;-0.367;0.262;-0.105
8.542;8.5;8.594;Queda;Ascensão;-0.042;0.094;0.052
9.792;8.8;6.042;Queda;Queda;-0.992;-2.758;-3.75
8.958;8.8;6.458;Queda;Queda;-0.158;-2.342;-2.5
7.188;7.7;6.875;Ascensão;Queda;0.512;-0.825;-0.313
7.5;7.8;6.25;Ascensão;Queda;0.3;-1.55;-1.25
8.125;8.1;6.042;Queda;Queda;-0.025;-2.058;-2.083
8.594;9.2;9.062;Ascensão;Queda;0.606;-0.138;0.468
7.5;9.2;6.25;Ascensão;Queda;1.7;-2.95;-1.25
8.333;9.8;8.281;Ascensão;Queda;1.467;-1.519;-0.052
8.75;9.2;7.812;Ascensão;Queda;0.45;-1.388;-0.938
8.75;8.8;8.594;Ascensão;Queda;0.05;-0.206;-0.156
;;Queda;9;15;;;
;;Ascensão;9;5;;;
