IPP 2020;IPP 2021;IPP;2020--> 2021;2021--> 2022;2020--> 2021;2021--> 2022;Queda acumulada
;;2022;;;;;
7.5;7.5;6.458;Estável;Queda;0;-1.042;-1.042
7.812;7.9;5.625;Ascensão;Queda;0.088;-2.275;-2.187
8.125;7.9;7.656;Queda;Queda;-0.225;-0.244;-0.469
7.292;8.5;6.25;Ascensão;Queda;1.208;-2.25;-1.042
5.833;8.8;7.344;Ascensão;Queda;2.967;-1.456;1.511
9.167;8.8;8.75;Queda;Queda;-0.367;-0.05;-0.417
8.75;9;8.125;Ascensão;Queda;0.25;-0.875;-0.625
7.5;8.5;6.458;Ascensão;Queda;1;-2.042;-1.042
7.969;8.3;6.458;Ascensão;Queda;0.331;-1.842;-1.511
8.438;8.1;8.594;Queda;Ascensão;-0.338;0.494;0.156
7.812;7.8;5.625;Queda;Queda;-0.012;-2.175;-2.187
7.917;7.7;6.458;Queda;Queda;-0.217;-1.242;-1.459
7.708;7.5;7.5;Queda;Estável;-0.208;0;-0.208
7.188;7.5;6.042;Ascensão;Queda;0.312;-1.458;-1.146
7.5;7.7;6.042;Ascensão;Queda;0.2;-1.658;-1.458
8.75;7.8;7.969;Queda;Ascensão;-0.95;0.169;-0.781
7.917;8.3;5.938;Ascensão;Queda;0.383;-2.362;-1.979
8.125;8.3;8.125;Ascensão;Queda;0.175;-0.175;0
7.5;7.5;6.458;Estável;Queda;0;-1.042;-1.042
8.125;7.5;6.042;Queda;Queda;-0.625;-1.458;-2.083
;;;;;;;
;;Queda;8;17;;;
;;Ascensão;10;2;;;
