IPP 2020;IPP 2021;IPP 2022;2020--> 2021;2021--> 2022;2020--> 2021;2021--> 2022;Queda acumulada
6.562;8.4;5.938;Ascensão;Queda;1.838;-2.462;-0.624
8.125;7.7;7.5;Queda;Queda;-0.425;-0.2;-0.625
8.75;7.3;7.969;Queda;Ascensão;-1.45;0.669;-0.781
7.5;8.1;5.625;Ascensão;Queda;0.6;-2.475;-1.875
7.969;8.3;7.5;Ascensão;Queda;0.331;-0.8;-0.469
5.625;7.1;6.042;Ascensão;Queda;1.475;-1.058;0.417
7.188;7.3;6.667;Ascensão;Queda;0.112;-0.633;-0.521
8.125;7.2;7.344;Queda;Ascensão;-0.925;0.144;-0.781
7.917;7.5;6.042;Queda;Queda;-0.417;-1.458;-1.875
7.188;8.1;7.344;Ascensão;Queda;0.912;-0.756;0.156
7.083;7.9;7.344;Ascensão;Queda;0.817;-0.556;0.261
7.5;8.1;7.031;Ascensão;Queda;0.6;-1.069;-0.469
8.281;7;7.5;Queda;Ascensão;-1.281;0.5;-0.781
7.188;7.3;6.042;Ascensão;Queda;0.112;-1.258;-1.146
8.125;6.5;6.458;Queda;Queda;-1.625;-0.042;-1.667
8.75;8.1;7.031;Queda;Queda;-0.65;-1.069;-1.719
8.75;8.1;7.031;Queda;Queda;-0.65;-1.069;-1.719
7.917;7.3;6.458;Queda;Queda;-0.617;-0.842;-1.459
2.5;6.3;5.625;Ascensão;Queda;3.8;-0.675;3.125
;;Queda;9;16;;;
;;Ascensão;10;3;;;
