IPP 2020;IPP 2021;IPP 2022;2020--> 2021;2021--> 2022;2020--> 2021;2021--> 2022;Queda acumulada
7.188;7.3;6.667;Ascensão;Queda;0.112;-0.633;-0.521
8.125;8.1;7.5;Queda;Queda;-0.025;-0.6;-0.625
8.958;7.3;6.875;Queda;Queda;-1.658;-0.425;-2.083
8.438;7.5;7.5;Queda;Estável;-0.938;0;-0.938
7.5;7.9;6.042;Ascensão;Queda;0.4;-1.858;-1.458
4.688;7.5;6.042;Ascensão;Queda;2.812;-1.458;1.354
7.188;7.5;6.25;Ascensão;Queda;0.312;-1.25;-0.938
7.917;7.7;5.833;Queda;Queda;-0.217;-1.867;-2.084
7.812;7.3;8.125;Queda;Ascensão;-0.512;0.825;0.313
8.542;8.8;8.125;Ascensão;Queda;0.258;-0.675;-0.417
2.5;7.5;6.042;Ascensão;Queda;5;-1.458;3.542
8.438;7.8;8.125;Queda;Ascensão;-0.638;0.325;-0.313
2.5;5.3;5;Ascensão;Queda;2.8;-0.3;2.5
2.5;6.6;5.625;Ascensão;Queda;4.1;-0.975;3.125
8.125;8.3;7.656;Ascensão;Queda;0.175;-0.644;-0.469
8.125;6.9;6.458;Queda;Queda;-1.225;-0.442;-1.667
7.292;7.7;5.833;Ascensão;Queda;0.408;-1.867;-1.459
8.125;7.7;6.458;Queda;Queda;-0.425;-1.242;-1.667
;;;;;;;
;;Queda;8;15;;;
;;Ascensão;10;2;;;
