IPP 2020;IPP 2021;IPP 2022;2020--> 2021;2021--> 2022;2020--> 2021;2021--> 2022;Queda acumulada
7.188;7.5;6.562;Ascensão;Queda;0.312;-0.938;-0.626
9.167;10;8.125;Ascensão;Queda;0.833;-1.875;-1.042
8.594;8;8.75;Queda;Ascensão;-0.594;0.75;0.156
7.292;8.3;6.667;Ascensão;Queda;1.008;-1.633;-0.625
8.594;8.9;8.438;Ascensão;Queda;0.306;-0.462;-0.156
8.594;9.2;8.906;Ascensão;Queda;0.606;-0.294;0.312
9.167;9.8;8.594;Ascensão;Queda;0.633;-1.206;-0.573
8.75;9;7.344;Ascensão;Queda;0.25;-1.656;-1.406
8.125;8.8;6.667;Ascensão;Queda;0.675;-2.133;-1.458
7.5;8.3;8.906;Ascensão;Ascensão;0.8;0.606;1.406
8.958;9.8;8.906;Ascensão;Queda;0.842;-0.894;-0.052
2.5;9;6.667;Ascensão;Queda;6.5;-2.333;4.167
8.125;8;9.062;Queda;Ascensão;-0.125;1.062;0.937
8.125;7.9;7.969;Queda;Ascensão;-0.225;0.069;-0.156
8.438;7.9;8.75;Queda;Ascensão;-0.538;0.85;0.312
;;;;;;;
;;Queda;4;10;;;
;;Ascensão;11;5;;;
