IEG 2020;IEG 2021;IEG 2022;2020--> 2021;2021--> 2022;2020--> 2021;2021--> 2022;Queda acumulada
8;7.5;8.558;Queda;Ascensão;-0.5;1.058;0.558
9.8;9.6;9.117;Queda;Queda;-0.2;-0.483;-0.683
10;10;8.946;Estável;Queda;0;-1.054;-1.054
9.2;6.9;5.246;Queda;Queda;-2.3;-1.654;-3.954
8.9;8.3;8.135;Queda;Queda;-0.6;-0.165;-0.765
9.7;8.9;9.725;Queda;Ascensão;-0.8;0.825;0.025
8.4;10;8.627;Ascensão;Queda;1.6;-1.373;0.227
10;8.3;8.744;Queda;Ascensão;-1.7;0.444;-1.256
9.3;5;7.709;Queda;Ascensão;-4.3;2.709;-1.591
9.7;7.8;8.648;Queda;Ascensão;-1.9;0.848;-1.052
8.9;7.8;9.141;Queda;Ascensão;-1.1;1.341;0.241
8.7;7.1;8.977;Queda;Ascensão;-1.6;1.877;0.277
8.5;6.3;8.355;Queda;Ascensão;-2.2;2.055;-0.145
8.1;9.6;9.315;Ascensão;Queda;1.5;-0.285;1.215
9.3;9.2;9.25;Queda;Ascensão;-0.1;0.05;-0.05
7;6.4;5.248;Queda;Queda;-0.6;-1.152;-1.752
9.6;7.1;9.683;Queda;Ascensão;-2.5;2.583;0.083
9.8;8.8;8.483;Queda;Queda;-1;-0.317;-1.317
9.9;9.2;8.575;Queda;Queda;-0.7;-0.625;-1.325
9.6;7.5;9.792;Queda;Ascensão;-2.1;2.292;0.192
9.5;7.5;7.74;Queda;Ascensão;-2;0.24;-1.76
8.3;6.1;8.132;Queda;Ascensão;-2.2;2.032;-0.168
9.4;7.1;9.321;Queda;Ascensão;-2.3;2.221;-0.079
9.7;7.5;7.777;Queda;Ascensão;-2.2;0.277;-1.923
10;9.6;9.683;Queda;Ascensão;-0.4;0.083;-0.317
9.5;9.6;9.163;Ascensão;Queda;0.1;-0.437;-0.337
8.7;8.3;8.514;Queda;Ascensão;-0.4;0.214;-0.186
10;10;8.766;Estável;Queda;0;-1.234;-1.234
8.7;6.7;8.458;Queda;Ascensão;-2;1.758;-0.242
9.2;7.5;9.198;Queda;Ascensão;-1.7;1.698;-0.002
7.3;5.8;8.175;Queda;Ascensão;-1.5;2.375;0.875
9.4;8.3;7.516;Queda;Queda;-1.1;-0.784;-1.884
8.8;7.2;9.059;Queda;Ascensão;-1.6;1.859;0.259
8.5;9.2;9.49;Ascensão;Ascensão;0.7;0.29;0.99
8.7;8.6;9.202;Queda;Ascensão;-0.1;0.602;0.502
8.2;7.8;9.737;Queda;Ascensão;-0.4;1.937;1.537
8.5;9.6;8.277;Ascensão;Queda;1.1;-1.323;-0.223
10;9.6;9.444;Queda;Queda;-0.4;-0.156;-0.556
8.8;8.6;7.776;Queda;Queda;-0.2;-0.824;-1.024
9.7;7.5;8.369;Queda;Ascensão;-2.2;0.869;-1.331
9.2;8.3;9.055;Queda;Ascensão;-0.9;0.755;-0.145
;;Queda;34;15;;;
;;Ascensão;5;26;;;
