IEG 2020;IEG 2021;IEG 2022;2020--> 2021;2021--> 2022;2020--> 2021;2021--> 2022;Queda acumulada
9.2;7.8;5.652;Queda;Queda;-1.4;-2.148;-3.548
8.7;5.8;7.304;Queda;Ascensão;-2.9;1.504;-1.396
9;6.9;7.726;Queda;Ascensão;-2.1;0.826;-1.274
8.3;8.8;7.473;Ascensão;Queda;0.5;-1.327;-0.827
9.5;7.8;7.947;Queda;Ascensão;-1.7;0.147;-1.553
8.9;7.9;6.99;Queda;Queda;-1;-0.91;-1.91
8.3;7.8;8.301;Queda;Ascensão;-0.5;0.501;0.001
9.2;6.7;8.826;Queda;Ascensão;-2.5;2.126;-0.374
10;8.8;8.815;Queda;Ascensão;-1.2;0.015;-1.185
6.7;7.5;8.08;Ascensão;Ascensão;0.8;0.58;1.38
9.1;8.1;6.084;Queda;Queda;-1;-2.016;-3.016
9.7;8.8;8.132;Queda;Queda;-0.9;-0.668;-1.568
7.4;7.9;5.765;Ascensão;Queda;0.5;-2.135;-1.635
8.3;7.5;8.694;Queda;Ascensão;-0.8;1.194;0.394
8.5;7.8;8.243;Queda;Ascensão;-0.7;0.443;-0.257
8.5;7.2;8.4;Queda;Ascensão;-1.3;1.2;-0.1
6.3;7.2;7.561;Ascensão;Ascensão;0.9;0.361;1.261
6.7;7.5;9.365;Ascensão;Ascensão;0.8;1.865;2.665
8.6;5.8;7.35;Queda;Ascensão;-2.8;1.55;-1.25
9.9;6.7;5.946;Queda;Queda;-3.2;-0.754;-3.954
9;7.8;9.183;Queda;Ascensão;-1.2;1.383;0.183
7.4;8.3;7.867;Ascensão;Queda;0.9;-0.433;0.467
8.2;7.5;4.846;Queda;Queda;-0.7;-2.654;-3.354
10;10;9.104;Estável;Queda;0;-0.896;-0.896
8.8;8.3;6.278;Queda;Queda;-0.5;-2.022;-2.522
10;9.6;6.949;Queda;Queda;-0.4;-2.651;-3.051
8.9;6.4;5.785;Queda;Queda;-2.5;-0.615;-3.115
9.5;8.1;8.801;Queda;Ascensão;-1.4;0.701;-0.699
9.1;5.4;6.667;Queda;Ascensão;-3.7;1.267;-2.433
10;9.6;8.932;Queda;Queda;-0.4;-0.668;-1.068
9.1;7.2;7.37;Queda;Ascensão;-1.9;0.17;-1.73
9.9;8.6;6.45;Queda;Queda;-1.3;-2.15;-3.45
9.6;8.8;7.414;Queda;Queda;-0.8;-1.386;-2.186
9.1;8.8;9.093;Queda;Ascensão;-0.3;0.293;-0.007
7.1;8.6;9.178;Ascensão;Ascensão;1.5;0.578;2.078
;;Queda;27;16;;;
;;Ascensão;6;18;;;
