IEG 2020;IEG 2021;IEG 2022;2020--> 2021;2021--> 2022;2020--> 2021;2021--> 2022;Queda acumulada
10;10;9.198;Estável;Queda;0;-0.802;-0.802
10;9.2;9.661;Queda;Ascensão;-0.8;0.461;-0.339
10;10;9.42;Estável;Queda;0;-0.58;-0.58
9.2;9.2;7.92;Estável;Queda;0;-1.28;-1.28
9.5;10;8.894;Ascensão;Queda;0.5;-1.106;-0.606
10;10;10;Estável;Estável;0;0;0
10;8.8;9.032;Queda;Ascensão;-1.2;0.232;-0.968
8.6;10;8.311;Ascensão;Queda;1.4;-1.689;-0.289
10;8.6;9.485;Queda;Ascensão;-1.4;0.885;-0.515
9.1;8.8;9.393;Queda;Ascensão;-0.3;0.593;0.293
8.9;8.3;10;Queda;Ascensão;-0.6;1.7;1.1
10;7.8;9.242;Queda;Ascensão;-2.2;1.442;-0.758
9.7;10;9.729;Ascensão;Queda;0.3;-0.271;0.029
10;10;9.667;Estável;Queda;0;-0.333;-0.333
9.2;10;9.383;Ascensão;Queda;0.8;-0.617;0.183
8.7;9.7;10;Ascensão;Ascensão;1;0.3;1.3
10;9.2;9.667;Queda;Ascensão;-0.8;0.467;-0.333
9.7;10;9.907;Ascensão;Queda;0.3;-0.093;0.207
9.5;8.9;9.896;Queda;Ascensão;-0.6;0.996;0.396
9.4;9.7;9.374;Ascensão;Queda;0.3;-0.326;-0.026
;;Queda;8;9;;;
;;Ascensão;6;9;;;
