IEG 2020;IEG 2021;IEG 2022;2020--> 2021;2021--> 2022;2020--> 2021;2021--> 2022;Queda acumulada
10;10;8.838;Estável;Queda;0;-1.162;-1.162
10;8.8;8.903;Queda;Ascensão;-1.2;0.103;-1.097
9.8;10;9.039;Ascensão;Queda;0.2;-0.961;-0.761
8.9;6.7;7.907;Queda;Ascensão;-2.2;1.207;-0.993
9.1;9.6;8.19;Ascensão;Queda;0.5;-1.41;-0.91
9.9;8.1;7.58;Queda;Queda;-1.8;-0.52;-2.32
9.9;8.9;7.78;Queda;Queda;-1;-1.12;-2.12
9.2;7.5;8.272;Queda;Ascensão;-1.7;0.772;-0.928
9.5;6.7;8.878;Queda;Ascensão;-2.8;2.178;-0.622
7.3;8.1;8.035;Ascensão;Queda;0.8;-0.065;0.735
9.8;5.8;9.286;Queda;Ascensão;-4;3.486;-0.514
9.4;7.5;9.012;Queda;Ascensão;-1.9;1.512;-0.388
9.4;7.5;8.24;Queda;Ascensão;-1.9;0.74;-1.16
9.9;10;8.293;Ascensão;Queda;0.1;-1.707;-1.607
9.9;9.2;9.605;Queda;Ascensão;-0.7;0.405;-0.295
9.8;7.2;9.58;Queda;Ascensão;-2.6;2.38;-0.22
8.8;8.8;8.772;Estável;Queda;0;-0.028;-0.028
9.9;8.3;9.007;Queda;Ascensão;-1.6;0.707;-0.893
9.5;10;10;Ascensão;Estável;0.5;0;0.5
8.9;8.8;7.963;Queda;Queda;-0.1;-0.837;-0.937
;;Queda;12;8;;;
;;Ascensão;5;10;;;
