IEG 2020;IEG 2021;IEG 2022;2020--> 2021;2021--> 2022;2020--> 2021;2021--> 2022;Queda acumulada
6.8;4.2;6.648;Queda;Ascensão;-2.6;2.448;-0.152
9.3;2.9;7.056;Queda;Ascensão;-6.4;4.156;-2.244
9.9;6.4;8.075;Queda;Ascensão;-3.5;1.675;-1.825
8.8;7.1;6.254;Queda;Queda;-1.7;-0.846;-2.546
9.4;5.6;6.048;Queda;Ascensão;-3.8;0.448;-3.352
9.9;7.5;6.869;Queda;Queda;-2.4;-0.631;-3.031
8.8;5;7.678;Queda;Ascensão;-3.8;2.678;-1.122
8.8;3.9;7.961;Queda;Ascensão;-4.9;4.061;-0.839
7.1;5.8;7.325;Queda;Ascensão;-1.3;1.525;0.225
8.3;7.9;7.188;Queda;Queda;-0.4;-0.712;-1.112
7.6;7.1;7.688;Queda;Ascensão;-0.5;0.588;0.088
8.3;7.5;6.608;Queda;Queda;-0.8;-0.892;-1.692
8.3;3.6;6.281;Queda;Ascensão;-4.7;2.681;-2.019
9.4;6.3;8.505;Queda;Ascensão;-3.1;2.205;-0.895
7.7;5.4;6.966;Queda;Ascensão;-2.3;1.566;-0.734
8.6;8.3;6.862;Queda;Queda;-0.3;-1.438;-1.738
8.1;8.3;6.826;Ascensão;Queda;0.2;-1.474;-1.274
8.4;4.2;8.974;Queda;Ascensão;-4.2;4.774;0.574
10;4.2;7.603;Queda;Ascensão;-5.8;3.403;-2.397
;;Queda;17;6;;;
;;Ascensão;1;12;;;
