IEG 2020;IEG 2021;IEG 2022;2020--> 2021;2021--> 2022;2020--> 2021;2021--> 2022;Queda acumulada
9;9.2;9.48;Ascensão;Ascensão;0.2;0.28;0.48
8.8;5.8;7.403;Queda;Ascensão;-3;1.603;-1.397
9.4;6.4;7.819;Queda;Ascensão;-3;1.419;-1.581
8;5.8;8.467;Queda;Ascensão;-2.2;2.667;0.467
8.5;7.5;8.942;Queda;Ascensão;-1;1.442;0.442
8.9;7.1;8.167;Queda;Ascensão;-1.8;1.067;-0.733
8.8;8.3;8.167;Queda;Queda;-0.5;-0.133;-0.633
8.5;5;8.778;Queda;Ascensão;-3.5;3.778;0.278
9.1;6.7;8.23;Queda;Ascensão;-2.4;1.53;-0.87
8.5;4.7;8.331;Queda;Ascensão;-3.8;3.631;-0.169
10;5;8.625;Queda;Ascensão;-5;3.625;-1.375
7.5;4.7;8.792;Queda;Ascensão;-2.8;4.092;1.292
10;8.3;8.486;Queda;Ascensão;-1.7;0.186;-1.514
10;8.3;8.077;Queda;Queda;-1.7;-0.223;-1.923
8.1;5.4;8.203;Queda;Ascensão;-2.7;2.803;0.103
8.7;6.3;8.888;Queda;Ascensão;-2.4;2.588;0.188
8.9;5;7.3;Queda;Ascensão;-3.9;2.3;-1.6
8.1;2.1;8.48;Queda;Ascensão;-6;6.38;0.38
;;Queda;16;2;;;
;;Ascensão;1;15;;;
