IEG 2020;IEG 2021;IEG 2022;2020--> 2021;2021--> 2022;2020--> 2021;2021--> 2022;Queda acumulada
7.7;9.6;8.389;Ascensão;Queda;1.9;-1.211;0.689
9.5;9.6;8.436;Ascensão;Queda;0.1;-1.164;-1.064
9;7.5;9.097;Queda;Ascensão;-1.5;1.597;0.097
9.2;9.6;10;Ascensão;Ascensão;0.4;0.4;0.8
9.9;9.2;9.661;Queda;Ascensão;-0.7;0.461;-0.239
9.9;8.9;9.615;Queda;Ascensão;-1;0.715;-0.285
9.6;10;10;Ascensão;Estável;0.4;0;0.4
9.6;9.7;10;Ascensão;Ascensão;0.1;0.3;0.4
10;9.2;9.861;Queda;Ascensão;-0.8;0.661;-0.139
8.2;9.2;9.099;Ascensão;Queda;1;-0.101;0.899
5.6;10;9.881;Ascensão;Queda;4.4;-0.119;4.281
10;10;10;Estável;Estável;0;0;0
9.1;8.3;9.641;Queda;Ascensão;-0.8;1.341;0.541
7.2;8.9;8.929;Ascensão;Ascensão;1.7;0.029;1.729
8.8;8.6;9.42;Queda;Ascensão;-0.2;0.82;0.62
;;Queda;5;4;;;
;;Ascensão;8;8;;;
