IPV 2020;IPV 2021;IPV 2022;2020-->2021;2021-->2022;2020--> 2021;2021-->2022;Queda acumulada
8.167;7.4;7.833;Queda;Ascensão;-0.767;0.433;-0.334
7.5;8.4;7.583;Ascensão;Queda;0.9;-0.817;0.083
5.75;6.8;8;Ascensão;Ascensão;1.05;1.2;2.25
9.25;7.7;6.778;Queda;Queda;-1.55;-0.922;-2.472
8;8;8.389;Estável;Ascensão;0;0.389;0.389
9.778;8.6;7.833;Queda;Queda;-1.178;-0.767;-1.945
7.778;7.8;7.944;Ascensão;Ascensão;0.022;0.144;0.166
6.75;8.4;7.333;Ascensão;Queda;1.65;-1.067;0.583
7.722;9.1;7.917;Ascensão;Queda;1.378;-1.183;0.195
8.25;7.3;7.389;Queda;Ascensão;-0.95;0.089;-0.861
8.444;8.1;8.5;Queda;Ascensão;-0.344;0.4;0.056
8;8.8;8.5;Ascensão;Queda;0.8;-0.3;0.5
9.083;8.2;8;Queda;Queda;-0.883;-0.2;-1.083
7.667;8.9;7.5;Ascensão;Queda;1.233;-1.4;-0.167
9.583;8.3;8.25;Queda;Queda;-1.283;-0.05;-1.333
7.611;7.7;7.944;Ascensão;Ascensão;0.089;0.244;0.333
7.5;8.1;7.5;Ascensão;Queda;0.6;-0.6;0
6.917;8.7;7.778;Ascensão;Queda;1.783;-0.922;0.861
8.778;8.9;7.292;Ascensão;Queda;0.122;-1.608;-1.486
8.722;8.1;8.125;Queda;Ascensão;-0.622;0.025;-0.597
8.333;9.2;8;Ascensão;Queda;0.867;-1.2;-0.333
8.944;8.7;7.875;Queda;Queda;-0.244;-0.825;-1.069
8.333;8.1;8.222;Queda;Ascensão;-0.233;0.122;-0.111
7.25;9.3;7.167;Ascensão;Queda;2.05;-2.133;-0.083
7;9.2;7.667;Ascensão;Queda;2.2;-1.533;0.667
8;9.1;8.389;Ascensão;Queda;1.1;-0.711;0.389
7.5;8.8;7.5;Ascensão;Queda;1.3;-1.3;0
6.083;6.6;7.75;Ascensão;Ascensão;0.517;1.15;1.667
8.833;8.5;6.708;Queda;Queda;-0.333;-1.792;-2.125
8.056;7.9;8.389;Queda;Ascensão;-0.156;0.489;0.333
8.278;6.2;7.611;Queda;Ascensão;-2.078;1.411;-0.667
7.944;8.1;7.958;Ascensão;Queda;0.156;-0.142;0.014
8.278;9.2;8.083;Ascensão;Queda;0.922;-1.117;-0.195
7.944;9;7.333;Ascensão;Queda;1.056;-1.667;-0.611
9.611;8.5;9.25;Queda;Ascensão;-1.111;0.75;-0.361
9.333;7.8;7.333;Queda;Queda;-1.533;-0.467;-2
7.917;9;7.333;Ascensão;Queda;1.083;-1.667;-0.584
7.667;8.7;7.333;Ascensão;Queda;1.033;-1.367;-0.334
9.375;9.5;8.833;Ascensão;Queda;0.125;-0.667;-0.542
8.944;8.6;8.5;Queda;Queda;-0.344;-0.1;-0.444
7.5;8.4;7.222;Ascensão;Queda;0.9;-1.178;-0.278
;;;;;;;
;;Queda;16;28;;;
;;Ascensão;24;13;;;
