IPV 2020;IPV 2021;IPV 2022;2020--> 2021;2021--> 2022;2020--> 2021;2021--> 2022;Queda acumulada
8.722;7.7;7.125;Queda;Queda;-1.022;-0.575;-1.597
7.75;6.7;7.611;Queda;Ascensão;-1.05;0.911;-0.139
7.292;8.1;6;Ascensão;Queda;0.808;-2.1;-1.292
7.667;7.7;7.5;Ascensão;Queda;0.033;-0.2;-0.167
8.389;7.5;7.556;Queda;Ascensão;-0.889;0.056;-0.833
7.667;7.4;7.5;Queda;Ascensão;-0.267;0.1;-0.167
8.278;8.3;7.083;Ascensão;Queda;0.022;-1.217;-1.195
8.5;8.4;8.458;Queda;Ascensão;-0.1;0.058;-0.042
7.833;7.5;6.944;Queda;Queda;-0.333;-0.556;-0.889
8.111;7.9;7.042;Queda;Queda;-0.211;-0.858;-1.069
6.111;8.7;6.333;Ascensão;Queda;2.589;-2.367;0.222
8.222;8.2;6.625;Queda;Queda;-0.022;-1.575;-1.597
6.722;8;6.042;Ascensão;Queda;1.278;-1.958;-0.68
7.722;7.2;6.944;Queda;Queda;-0.522;-0.256;-0.778
8.292;7;7.417;Queda;Ascensão;-1.292;0.417;-0.875
9.375;8.7;7.667;Queda;Queda;-0.675;-1.033;-1.708
7.833;8.5;6.5;Ascensão;Queda;0.667;-2;-1.333
7.278;8.2;8.056;Ascensão;Queda;0.922;-0.144;0.778
7.333;7.5;7.333;Ascensão;Queda;0.167;-0.167;0
7.583;7.9;7.667;Ascensão;Queda;0.317;-0.233;0.084
8.333;7.9;5.792;Queda;Queda;-0.433;-2.108;-2.541
8.083;7.3;7.5;Queda;Ascensão;-0.783;0.2;-0.583
8.778;7.7;7.278;Queda;Queda;-1.078;-0.422;-1.5
6.917;8.3;6;Ascensão;Queda;1.383;-2.3;-0.917
7.833;7.9;7.333;Ascensão;Queda;0.067;-0.567;-0.5
7;8.2;8.167;Ascensão;Queda;1.2;-0.033;1.167
7.444;7.8;7.417;Ascensão;Queda;0.356;-0.383;-0.027
9.111;8.3;6.75;Queda;Queda;-0.811;-1.55;-2.361
7.111;7.8;5.708;Ascensão;Queda;0.689;-2.092;-1.403
7.417;8.2;5.889;Ascensão;Queda;0.783;-2.311;-1.528
7.056;6.8;8.056;Queda;Ascensão;-0.256;1.256;1
7.5;8.9;7.792;Ascensão;Queda;1.4;-1.108;0.292
6.778;8.3;6.167;Ascensão;Queda;1.522;-2.133;-0.611
8;7.9;7.056;Queda;Queda;-0.1;-0.844;-0.944
9.111;8.5;5.833;Queda;Queda;-0.611;-2.667;-3.278
;;Queda;17;27;;;
;;Ascensão;17;7;;;
