IPV 2020;IPV 2021;IPV 2022;2020--> 2021;2021--> 2022;2020--> 2021;2021--> 2022;Queda acumulada
10;9.7;9.5;Queda;Queda;-0.3;-0.2;-0.5
9.75;9.7;9.75;Queda;Ascensão;-0.05;0.05;0
6.583;9.2;8.278;Ascensão;Queda;2.617;-0.922;1.695
7.833;8.4;8.333;Ascensão;Queda;0.567;-0.067;0.5
9.583;8.9;8.5;Queda;Queda;-0.683;-0.4;-1.083
8.917;8.7;7.889;Queda;Queda;-0.217;-0.811;-1.028
9.833;8.7;9.056;Queda;Ascensão;-1.133;0.356;-0.777
9;9.7;8.625;Ascensão;Queda;0.7;-1.075;-0.375
9.889;9.9;10;Ascensão;Ascensão;0.011;0.1;0.111
8.833;9.4;9.208;Ascensão;Queda;0.567;-0.192;0.375
9.778;9.3;8.25;Queda;Queda;-0.478;-1.05;-1.528
9.222;8.8;8.125;Queda;Queda;-0.422;-0.675;-1.097
7.25;9;9.333;Ascensão;Ascensão;1.75;0.333;2.083
7.583;8.3;6.889;Ascensão;Queda;0.717;-1.411;-0.694
7.917;9.7;8.222;Ascensão;Queda;1.783;-1.478;0.305
9.833;9.3;9.667;Queda;Ascensão;-0.533;0.367;-0.166
8.083;9.7;8.056;Ascensão;Queda;1.617;-1.644;-0.027
7.889;9.9;8.208;Ascensão;Queda;2.011;-1.692;0.319
9.5;9.9;9.5;Ascensão;Queda;0.4;-0.4;0
8.222;8.7;8.5;Ascensão;Queda;0.478;-0.2;0.278
;;Queda;8;14;;;
;;Ascensão;11;5;;;
