IPV 2020;IPV 2021;IPV 2022;2020--> 2021;2021--> 2022;2020--> 2021;2021--> 2022;Queda acumulada
7;8.3;8.444;Ascensão;Ascensão;1.3;0.144;1.444
7.333;8.6;7.75;Ascensão;Queda;1.267;-0.85;0.417
9.333;9.6;7.75;Ascensão;Queda;0.267;-1.85;-1.583
7.333;8.4;8.444;Ascensão;Ascensão;1.067;0.044;1.111
8.278;8.8;6.708;Ascensão;Queda;0.522;-2.092;-1.57
9.111;8.5;9.111;Queda;Ascensão;-0.611;0.611;0
9.167;8.9;8.583;Queda;Queda;-0.267;-0.317;-0.584
7.278;8.6;8.056;Ascensão;Queda;1.322;-0.544;0.778
8.542;7.7;7.5;Queda;Queda;-0.842;-0.2;-1.042
8.667;9.2;8.375;Ascensão;Queda;0.533;-0.825;-0.292
6.25;7.5;6.278;Ascensão;Queda;1.25;-1.222;0.028
8;7.9;8;Queda;Ascensão;-0.1;0.1;0
7.944;8.3;6.458;Ascensão;Queda;0.356;-1.842;-1.486
7.417;8.1;7.5;Ascensão;Queda;0.683;-0.6;0.083
7.5;7.9;7.167;Ascensão;Queda;0.4;-0.733;-0.333
8.556;9.4;8.458;Ascensão;Queda;0.844;-0.942;-0.098
7.611;7.6;8.25;Queda;Ascensão;-0.011;0.65;0.639
8.944;8.4;8.944;Queda;Ascensão;-0.544;0.544;0
9;8.4;8;Queda;Queda;-0.6;-0.4;-1
7.75;7.4;7.556;Queda;Ascensão;-0.35;0.156;-0.194
;;Queda;7;13;;;
;;Ascensão;12;6;;;
