IPV 2020;IPV 2021;IPV 2022;2020--> 2021;2021--> 2022;2020--> 2021;2021--> 2022;Queda acumulada
7.75;8.8;7.5;Ascensão;Queda;1.05;-1.3;-0.25
7.944;8.7;6.417;Ascensão;Queda;0.756;-2.283;-1.527
8.222;7.9;7.792;Queda;Queda;-0.322;-0.108;-0.43
7.917;6.6;5.417;Queda;Queda;-1.317;-1.183;-2.5
7.417;6.7;7.944;Queda;Ascensão;-0.717;1.244;0.527
7.167;8.6;5.778;Ascensão;Queda;1.433;-2.822;-1.389
7.417;6.1;7.333;Queda;Ascensão;-1.317;1.233;-0.084
7.222;5.3;6.375;Queda;Ascensão;-1.922;1.075;-0.847
7.833;6.8;6.944;Queda;Ascensão;-1.033;0.144;-0.889
7.583;6.8;5.375;Queda;Queda;-0.783;-1.425;-2.208
6.889;7.1;5.542;Ascensão;Queda;0.211;-1.558;-1.347
7.917;8.5;5.208;Ascensão;Queda;0.583;-3.292;-2.709
8.458;6.3;7.292;Queda;Ascensão;-2.158;0.992;-1.166
7.75;7.3;7.889;Queda;Ascensão;-0.45;0.589;0.139
8;7.3;7.5;Queda;Ascensão;-0.7;0.2;-0.5
8.778;6.8;5.625;Queda;Queda;-1.978;-1.175;-3.153
8.611;6.8;5.625;Queda;Queda;-1.811;-1.175;-2.986
7.444;7.3;7.5;Queda;Ascensão;-0.144;0.2;0.056
4.583;6.2;7.056;Ascensão;Ascensão;1.617;0.856;2.473
;;Queda;13;10;;;
;;Ascensão;5;8;;;
