IPV 2020;IPV 2021;IPV 2022;2020--> 2021;2021--> 2022;2020--> 2021;2021--> 2022;Queda acumulada
7.667;5.6;7.833;Queda;Ascensão;-2.067;2.233;0.166
9.111;7.7;8.833;Queda;Ascensão;-1.411;1.133;-0.278
9.167;6.7;7.75;Queda;Ascensão;-2.467;1.05;-1.417
7.75;6;5.583;Queda;Queda;-1.75;-0.417;-2.167
7.833;7.8;7.833;Queda;Ascensão;-0.033;0.033;0
7.75;5.3;7.667;Queda;Ascensão;-2.45;2.367;-0.083
7.25;5.4;7.833;Queda;Ascensão;-1.85;2.433;0.583
7.333;6.6;7.556;Queda;Ascensão;-0.733;0.956;0.223
7.917;5.2;7.875;Queda;Ascensão;-2.717;2.675;-0.042
8.333;7.5;7.792;Queda;Ascensão;-0.833;0.292;-0.541
7;8.3;7.611;Ascensão;Queda;1.3;-0.689;0.611
7.5;7;6.292;Queda;Queda;-0.5;-0.708;-1.208
4.5;6.2;7.083;Ascensão;Ascensão;1.7;0.883;2.583
4.75;5;8.083;Ascensão;Ascensão;0.25;3.083;3.333
8;8;7.875;Estável;Queda;0;-0.125;-0.125
8;6.2;7.556;Queda;Ascensão;-1.8;1.356;-0.444
7.333;7.3;7.278;Queda;Queda;-0.033;-0.022;-0.055
9;8.7;7.5;Queda;Queda;-0.3;-1.2;-1.5
;;Queda;13;5;;;
;;Ascensão;3;12;;;
