IPV 2020;IPV 2021;IPV 2022;2020--> 2021;2021--> 2022;2020--> 2021;2021--> 2022;Queda acumulada
7.417;8.2;9.333;Ascensão;Ascensão;0.783;1.133;1.916
8.611;10;8.125;Ascensão;Queda;1.389;-1.875;-0.486
9.125;9;9.292;Queda;Ascensão;-0.125;0.292;0.167
7.444;9.8;8.167;Ascensão;Queda;2.356;-1.633;0.723
8.542;8.3;9.083;Queda;Ascensão;-0.242;0.783;0.541
9.167;9.4;9.583;Ascensão;Ascensão;0.233;0.183;0.416
8.278;9.8;9.125;Ascensão;Queda;1.522;-0.675;0.847
9.056;8.9;8.292;Queda;Queda;-0.156;-0.608;-0.764
7.5;9.6;8.944;Ascensão;Queda;2.1;-0.656;1.444
8.333;8.4;8.625;Ascensão;Ascensão;0.067;0.225;0.292
8.944;9.8;9.25;Ascensão;Queda;0.856;-0.55;0.306
7.833;9.8;9.611;Ascensão;Queda;1.967;-0.189;1.778
8.722;9.3;10;Ascensão;Ascensão;0.578;0.7;1.278
9;9.1;8.917;Ascensão;Queda;0.1;-0.183;-0.083
7.75;8.3;8.667;Ascensão;Ascensão;0.55;0.367;0.917
;;Queda;3;8;;;
;;Ascensão;11;6;;;
