PEDRA 2020;PEDRA 2021;PEDRA 2022;;IPP 2020;IPP 2021;IPP 2022;IEG 2020;IEG 2021;IEG 2022;IPV 2020;IPV 2021;IPV 2022;Média
Ametista;Topázio;Topázio;;9.2;9.8;8.6;9.6;10;10;8.3;9.8;9.1;9.4
Ametista;Topázio;Topázio;;8.6;9.2;8.9;9.9;8.9;9.6;9.2;9.4;9.6;9.3
Ametista;Topázio;Topázio;;9;9.8;8.9;5.6;10;9.9;8.9;9.8;9.3;9
Ametista;Topázio;Topázio;;8.6;8.9;8.4;9.9;9.2;9.7;8.5;8.3;9.1;9
Ametista;Topázio;Topázio;;8.1;8;9.1;9.1;8.3;9.6;8.7;9.3;10;8.9
Ametista;Topázio;Topázio;;8.1;8.8;6.7;10;9.2;9.9;7.5;9.6;8.9;8.7
Ametista;Topázio;Topázio;;8.6;8;8.8;9;7.5;9.1;9.1;9;9.3;8.7
Ametista;Topázio;Topázio;;8.4;7.9;8.8;8.8;8.6;9.4;7.8;8.3;8.7;8.5
Ametista;Topázio;Topázio;;7.5;8.3;8.9;8.2;9.2;9.1;8.3;8.4;8.6;8.5
Ametista;Topázio;Topázio;;8.1;7.9;8;7.2;8.9;8.9;9;9.1;8.9;8.4
Ametista;Topázio;Topázio;;2.5;9;6.7;10;10;10;7.8;9.8;9.6;8.4
Ametista;Topázio;Topázio;;7.2;7.5;6.6;7.7;9.6;8.4;7.4;8.2;9.3;8
