PEDRA 2020;PEDRA 2021;PEDRA 2022;;IPP 2020;IPP 2021;IPP 2022;IEG 2020;IEG 2021;IEG 2022;IPV 2020;IPV 2021;IPV 2022;Média
Topázio;Topázio;Topázio;;9.4;8.8;9.2;10;9.2;9.7;9.8;9.7;9.8;9.5
Topázio;Topázio;Topázio;;9.2;8.8;9.1;10;8.6;9.5;9.9;9.9;10;9.4
Topázio;Topázio;Topázio;;8.6;9.2;9.1;8.7;9.7;10;9.8;9.3;9.7;9.3
Topázio;Topázio;Topázio;;10;7.7;7.1;10;10;9.2;10;9.7;9.5;9.2
Topázio;Topázio;Topázio;;8.8;9.2;7.8;9.5;8.9;9.9;9.5;9.9;9.5;9.2
Topázio;Topázio;Topázio;;9.7;7.5;8.6;9.5;10;8.9;9.6;8.9;8.5;9
Topázio;Topázio;Topázio;;8.5;8.5;8.6;9.1;8.8;9.4;8.8;9.4;9.2;8.9
Topázio;Topázio;Topázio;;8.8;8.8;8.6;9.4;9.7;9.4;8.2;8.7;8.5;8.9
Topázio;Topázio;Topázio;;10;7.5;6.9;10;8.8;9;9.8;8.7;9.1;8.9
Topázio;Topázio;Topázio;;7.8;8.5;8.9;8.6;10;8.3;9;9.7;8.6;8.8
Topázio;Topázio;Ametista;;8.1;7.9;6.5;9.6;10;9.2;7.8;9.5;8.7;8.6
Topázio;Topázio;Topázio;;7.2;7.7;6.9;9.7;10;9.7;7.3;9;9.3;8.5
